Sort,SampleLayer_ID,Soil_Series_Type,Surface_Subsurface,Layer_Designation,UpperDepth_cm,LowerDepth_cm,Total_HorizonDepth_cm,HR_Depth,Horizon,Horizon_Simple,Soil_Series,A_Horizon,A_Thickness,ParentMaterials,AnthropogenicMaterials_YN,Anthro_Transported_Material_YN,Texture,Texture_Rubble_Detail,Percent_Sand,Percent_Sand_scale,Percent_Silt,Percent_Silt_scale,Percent_Clay,Percent_Clay_scale,F_Sand_Percent,VF_Sand_Percent,Percent_Rock_Fragment,Rock_Fragment_Type,Organic_Content,Soil_Core_Notes,Redox_Present_YN,Redox_Color,Redox_Amount,Redox_Size,Redox_Contrast,BulkDensity_gcm3,BulkDensity_scale,Tenth_bar_H2O,Third_bar_H2O,Third_bar_scale,Fifteen_bar_H2O,Fifteen_bar_scale,Ksat_cmhr,Unsaturated_K2cm_cmhr,Borehole_Ksat_cmhr,Texture_mod,ksat_texture,theta_r_texture,theta_s_texture,alpha_texture,n_texture,Texture_Test,Horizon_Simple,Soil_Series,A_Horizon,Grade,Type,Top_Type,Comments
36,CLS4CLP7L5,Urban Observed,Subsurface,HR 1,150,185,35,150,2C4,C,Elnora,,,,No,No,sil,silt loam,22.33,0.226470588,53.43,0.548562628,24.24,0.257051962,,,0,,,,Yes,5G 6/1,,,,,NA,,,NA,,NA,0.03,,0.03,siltLoam,1.785,0.0645,0.4387,0.0051,1.6626,100,C,Elnora,,NA,single grain,,
37,CLS4CLP8L1,Urban Observed,Surface,Surface,0,23,23,,^A,A,Elnora,A1,23,Anthropogenic over Lacustrine,No,Yes,sl,sandy loam,64.31,0.652231237,23.45,0.240759754,12.25,0.12990456,,,0,,,,No,,,,,,NA,,,NA,,NA,0.27,0.27,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100.01,A,Elnora,A1,weak,fine granular structure,,
38,CLS4CLP8L2,Urban Observed,Subsurface,HR 1,23,37,14,23,^C,C,Elnora,,,,No,Yes,ls,loamy sand,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,loamSand,8.689,0.0485,0.3904,0.0347,1.7466,0,C,Elnora,,NA,single grain,,
39,CLS4CLP8L3,Urban Observed,Subsurface,,37,53,16,,2Cg,C,Elnora,,,,No,No,sicl,silty clay loam,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,siltClayLoam,0.295,0.0901,0.482,0.0084,1.5202,0,C,Elnora,,NA,single grain,,
40,CLS4CLP8L4,Urban Observed,Subsurface,,53,71,18,,2C,C,Elnora,,,,No,No,fsl,fine sandy loam,,NA,,NA,,NA,,,0,,,,Yes,10YR 5/8,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
41,CLS4CLP8L5,Urban Observed,Subsurface,,71,90,19,,2Cg',C,Elnora,,,,No,No,sicl,silty clay loam,,NA,,NA,,NA,,,0,,,,No,,,,,,NA,,,NA,,NA,,,,siltClayLoam,0.295,0.0901,0.482,0.0084,1.5202,0,C,Elnora,,NA,single grain,,
42,CLS4CLP8L6,Urban Observed,Subsurface,HR 2,90,160,70,90,3C1,C,Elnora,,,,No,No,sicl,silty clay loam,15.26,0.154766734,47.17,0.484291581,37.57,0.398409332,,,0,,,,Yes,10YR 5/8; 10YR 5/4,,,,,NA,,,NA,,NA,0.58,,0.58,siltClayLoam,0.295,0.0901,0.482,0.0084,1.5202,100,C,Elnora,,NA,single grain,,
43,CLS4CLP8L7,Urban Observed,Subsurface,,160,190,30,,3C2,C,Elnora,,,,No,No,sl,sandy loam,,NA,,NA,,NA,,,0,,,,Yes,5B 7/1; 10YR 5/8,,,,,NA,,,NA,,NA,,,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,0,C,Elnora,,NA,single grain,,
44,CLS4CLP8L8,Urban Observed,Subsurface,,190,198,8,,3Cg,C,Elnora,,,,No,No,cl,clay loam,,NA,,NA,,NA,,,0,,,,Yes,10YR 2/1; 75YR 5/6,,,,,NA,,,NA,,NA,,,,clayLoam,1.524,0.0792,0.4418,0.0158,1.4145,0,C,Elnora,,NA,single grain,,
46,CLS5CLP9L1,Urban Observed,Surface,Surface,0,18,18,,^A1u,A,Hornell,A1,18,Anthropogenic over Residual,No,Yes,sl,sandy loam,67.28,0.682352941,22.32,0.229158111,10.4,0.11028632,,,30,"wood, gravel",,,No,,,,,,NA,,,NA,,NA,1.62,1.62,,sandloam,2.755,0.0387,0.387,0.0267,1.4484,100,A,Hornell,A1,weak,medium granular structure,,
